ID,Item,Boss,Attendee,Class,Specialization,Comment,"Date (GMT)"
19395,"Rejuvenating Gem",Shared,Myann,Priest,Holy,,"2025-03-07 01:05:47"
19437,"Boots of Pure Thought","Trash mobs",Myann,Priest,Holy,,"2025-03-07 01:05:47"
19363,"Crul'shorukh, Edge of Chaos",Nefarian,Tagon,Warrior,Fury,+20,"2025-03-07 16:45:15"
19402,"Legguards of the Fallen Crusader",Firemaw,Tagon,Warrior,Fury,,"2025-03-07 03:36:08"
19361,"Ashjre'thul, Crossbow of Smiting",Chromaggus,Hobar,Hunter,Marksmanship,,"2025-03-07 09:44:06"
19377,"Prestor's Talisman of Connivery",Nefarian,Hobar,Hunter,Marksmanship,,"2025-03-07 09:44:07"
19406,"Drake Fang Talisman",Ebonroc,Lenold,Rogue,Swords,+60,"2025-03-07 11:56:21"
16905,"Bloodfang Chestpiece",Nefarian,Lenold,Rogue,Swords,+10,"2025-03-07 11:56:37"
19431,"Styleen's Impeding Scarab",Flamegor,Piracanjuba,Shaman,Restoration,,"2025-03-07 13:33:57"
19382,"Pure Elementium Band",Nefarian,Piracanjuba,Shaman,Restoration,,"2025-03-07 13:33:57"
19386,"Elementium Threaded Cloak",Chromaggus,Alandinia,Druid,Bear,,"2025-03-07 16:19:33"
19003,"Head of Nefarian (Alliance)",Nefarian,Alandinia,Druid,Bear,,"2025-03-07 16:19:33"
19348,"Red Dragonscale Protector",Vaelastrasz,Qaek,Paladin,Holy,+20,"2025-03-07 17:47:53"
19395,"Rejuvenating Gem",Shared,Qaek,Paladin,Holy,,"2025-03-07 17:47:28"
19379,"Neltharion's Tear",Nefarian,Ubagas,Mage,Arcane,,"2025-03-07 18:11:55"
19356,"Staff of the Shadow Flame",Nefarian,Ubagas,Mage,Arcane,,"2025-03-07 18:11:55"
19337,"The Black Book",Razorgore,Veigh,Warlock,Demonology,,"2025-03-07 18:13:08"
19351,"Maladath, Runed Blade of the Black Flight","Broodlord Lashlayer",Goblinski,Rogue,Swords,,"2025-03-07 18:28:41"
19352,"Chromatically Tempered Sword",Chromaggus,Goblinski,Rogue,Swords,,"2025-03-07 18:28:41"
19355,"Shadow Wing Focus Staff",Shared,Vlaew,Priest,Shadow,,"2025-03-07 18:51:35"
19407,"Ebony Flame Gloves",Ebonroc,Vlaew,Priest,Shadow,,"2025-03-07 20:09:57"
19349,"Elementium Reinforced Bulwark",Chromaggus,Sneezyanus,Shaman,Tank,,"2025-03-07 18:58:12"
19431,"Styleen's Impeding Scarab",Flamegor,Sneezyanus,Shaman,Tank,,"2025-03-07 18:58:12"
19379,"Neltharion's Tear",Nefarian,Bakibthree,Warlock,Affliction,,"2025-03-07 19:18:00"
19403,"Band of Forced Concentration",Ebonroc,Bakibthree,Warlock,Affliction,,"2025-03-07 19:18:00"
19337,"The Black Book",Razorgore,Veigh,Warlock,Demonology,,"2025-03-07 20:13:28"
19339,"Mind Quickening Gem",Vaelastrasz,Althazaar,Mage,Arcane,,"2025-03-07 20:16:30"
16913,"Netherwind Gloves",Shared,Althazaar,Mage,Arcane,,"2025-03-07 20:16:30"
19379,"Neltharion's Tear",Nefarian,Yuyuko,Priest,Shadow,,"2025-03-07 20:33:31"
19379,"Neltharion's Tear",Nefarian,Yuyuko,Priest,Shadow,,"2025-03-07 20:33:31"
16940,"Dragonstalker's Gauntlets",Shared,Farpa,Hunter,Marksmanship,,"2025-03-07 20:34:27"
19398,"Cloak of Firemaw",Firemaw,Farpa,Hunter,Marksmanship,,"2025-03-07 20:34:27"
19363,"Crul'shorukh, Edge of Chaos",Nefarian,Cobrakai,Rogue,Swords,"+20 (+10 with the updated SR sheet ;))))","2025-03-07 21:01:13"
19377,"Prestor's Talisman of Connivery",Nefarian,Cobrakai,Rogue,Swords,,"2025-03-07 20:36:48"
19374,"Bracers of Arcane Accuracy","Broodlord Lashlayer",Onfroy,Warlock,Demonology,,"2025-03-07 20:47:05"
36551,"Black Drake",Nefarian,Onfroy,Warlock,Demonology,,"2025-03-07 20:36:52"
19356,"Staff of the Shadow Flame",Nefarian,Arcazap,Mage,Arcane,,"2025-03-07 20:38:47"
19379,"Neltharion's Tear",Nefarian,Arcazap,Mage,Arcane,,"2025-03-07 20:38:47"
19377,"Prestor's Talisman of Connivery",Nefarian,Myrril,Hunter,Marksmanship,,"2025-03-07 20:40:30"
19361,"Ashjre'thul, Crossbow of Smiting",Chromaggus,Myrril,Hunter,Marksmanship,,"2025-03-07 20:40:30"
16952,"Judgement Belt",Vaelastrasz,Danknight,Paladin,Protection,,"2025-03-07 20:42:13"
16958,"Judgement Breastplate",Nefarian,Danknight,Paladin,Protection,,"2025-03-07 20:42:13"
19353,"Drake Talon Cleaver",Shared,Balkanac,Warrior,Arms,,"2025-03-07 20:43:06"
19334,"The Untamed Blade",Razorgore,Balkanac,Warrior,Arms,,"2025-03-07 20:43:06"
19395,"Rejuvenating Gem",Shared,Nameyorprice,Priest,Holy,,"2025-03-07 20:43:26"
19382,"Pure Elementium Band",Nefarian,Nameyorprice,Priest,Holy,,"2025-03-07 20:43:26"
19381,"Boots of the Shadow Flame",Nefarian,Manahitit,Shaman,Enhancement,,"2025-03-07 20:44:58"
19406,"Drake Fang Talisman",Ebonroc,Manahitit,Shaman,Enhancement,,"2025-03-07 20:44:58"
19382,"Pure Elementium Band",Nefarian,Shadowordpwn,Priest,Holy,,"2025-03-07 20:46:42"
19360,"Lok'amir il Romathis",Nefarian,Shadowordpwn,Priest,Holy,,"2025-03-07 20:46:43"
16818,"Netherwind Belt",Vaelastrasz,Bigbadmage,Mage,Arcane,,"2025-03-07 20:49:22"
36551,"Black Drake",Nefarian,Bigbadmage,Mage,Arcane,,"2025-03-07 20:49:22"
19351,"Maladath, Runed Blade of the Black Flight","Broodlord Lashlayer",Sabansaulicc,Rogue,Swords,,"2025-03-07 20:49:33"
19352,"Chromatically Tempered Sword",Chromaggus,Sabansaulicc,Rogue,Swords,,"2025-03-07 20:49:34"
19360,"Lok'amir il Romathis",Nefarian,Vrganj,Druid,Restoration,,"2025-03-07 20:51:55"
