ID,Item,Boss,Attendee,Class,Specialization,Comment,"Date (GMT)"
18829,"Deep Earth Spaulders",Shared,Tekkoshin,Shaman,Elemental,,"2025-01-05 15:07:26"
92080,"Molten Corehound",Ragnaros,Tekkoshin,Shaman,Elemental,,"2025-01-05 15:07:26"
92080,"Molten Corehound",Ragnaros,Rains,Hunter,Marksmanship,,"2025-01-05 15:16:35"
18821,"Quick Strike Ring",Shared,Rains,Hunter,Marksmanship,,"2025-01-05 15:16:35"
16938,"Dragonstalker's Legguards",Ragnaros,Pewpaw,Hunter,Marksmanship,,"2025-01-05 16:56:09"
17102,"Cloak of the Shrouded Mists",Ragnaros,Pewpaw,Hunter,Marksmanship,,"2025-01-05 16:56:09"
16901,"Stormrage Legguards",Ragnaros,Peatel,Druid,Restoration,,"2025-01-05 17:17:56"
18823,"Aged Core Leather Gloves",Shared,Altaircho,Rogue,Daggers,,"2025-01-05 17:18:31"
17069,"Striker's Mark",Magmadar,Altaircho,Rogue,Daggers,,"2025-01-05 17:18:31"
19140,"Cauterizing Band","Majordomo Executus",Peatel,Druid,Restoration,,"2025-01-05 17:20:43"
18703,"Ancient Petrified Leaf","Majordomo Executus",Alandinian,Hunter,Marksmanship,,"2025-01-05 17:33:20"
16852,"Giantstalker's Gloves",Shazzrah,Alandinian,Hunter,Marksmanship,,"2025-01-05 17:33:21"
19140,"Cauterizing Band","Majordomo Executus",Piracanjuba,Shaman,Restoration,,"2025-01-05 18:25:19"
17065,"Medallion of Steadfast Might",Magmadar,Piracanjuba,Shaman,Restoration,,"2025-01-05 18:25:19"
17076,"Bonereaver's Edge",Ragnaros,Crimza,Warrior,Fury,,"2025-01-05 18:31:09"
17076,"Bonereaver's Edge",Ragnaros,Crimza,Warrior,Fury,,"2025-01-05 20:39:44"
16946,"Legplates of Ten Storms",Ragnaros,Glorkmorknig,Shaman,Enhancement,,"2025-01-05 18:44:27"
16837,"Earthfury Boots",Lucifron,Glorkmorknig,Shaman,Enhancement,,"2025-01-05 18:44:27"
18259,"Formula: Enchant Weapon - Spell Power",Shared,Brockington,Mage,Arcane,,"2025-01-05 18:57:51"
